;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu144;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,0%;0,0%;0,0%;0,0%;
Otu148;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonadaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu157;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;0,0%;0,0%;0,0%;0,0%;
Otu162;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;SRB2;SRB2_ge;0,0%;0,0%;0,0%;0,0%;
Otu168;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;0,0%;0,0%;0,0%;0,0%;
Otu169;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomycetaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu174;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_12;0,0%;0,0%;0,0%;0,0%;
Otu184;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;0,0%;0,0%;0,0%;0,0%;
Otu185;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu188;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;0,0%;0,0%;0,0%;0,0%;
Otu211;Bacteria;Bacteroidetes;Bacteroidetes_vadinHA17;Bacteroidetes_vadinHA17_or;Bacteroidetes_vadinHA17_fa;Bacteroidetes_vadinHA17_ge;0,0%;0,0%;0,0%;0,0%;
Otu222;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu259;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010;0,0%;0,0%;0,0%;0,0%;
Otu274;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu281;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu285;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-010;0,0%;0,0%;0,0%;0,0%;
Otu299;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified;Clostridiales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu300;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;0,0%;0,0%;0,0%;0,0%;
Otu322;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;0,0%;0,0%;0,0%;0,0%;
Otu030;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0,1%;0,0%;2,7%;0,2%;
Otu034;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0,0%;0,0%;0,0%;0,0%;
Otu037;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0,0%;0,0%;0,0%;0,0%;
Otu049;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,3%;
Otu051;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9;0,0%;0,0%;0,5%;0,2%;
Otu055;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu059;Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;IheB3-7;IheB3-7_ge;0,0%;0,0%;0,0%;0,0%;
Otu064;Bacteria;Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu074;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_5;0,0%;0,0%;0,0%;0,0%;
Otu078;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,1%;
Otu085;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-009;0,0%;0,0%;0,0%;0,1%;
Otu088;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,0%;0,0%;0,0%;0,0%;
Otu089;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;0,0%;0,0%;0,1%;0,0%;
Otu090;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;0,0%;0,0%;0,1%;0,0%;
Otu094;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;0,1%;0,0%;0,0%;0,0%;
Otu095;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;0,0%;0,0%;0,0%;0,0%;
Otu101;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,1%;0,0%;0,0%;0,0%;
Otu102;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,1%;
Otu110;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu113;Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Gracilibacter;0,0%;0,0%;0,0%;0,0%;
Otu116;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;0,0%;0,0%;0,0%;0,0%;
Otu118;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu121;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,0%;0,0%;0,0%;0,0%;
Otu124;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified;0,0%;0,0%;0,1%;0,0%;
Otu133;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu134;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;0,0%;0,0%;0,0%;0,0%;
Otu136;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;0,1%;0,0%;0,0%;0,0%;
Otu137;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;0,0%;0,0%;0,0%;0,0%;
Otu141;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,1%;0,0%;0,0%;0,0%;
Otu146;Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu147;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;0,0%;0,0%;0,0%;0,0%;
Otu152;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;vadinBC27_wastewater-sludge_group;0,0%;0,0%;0,0%;0,0%;
Otu156;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;0,0%;0,0%;0,1%;0,0%;
Otu160;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
