Ewe/V;BA1_C;Ewe/V;BA2_C;<--CV_beggining
-0,49982512;0,155931757;-0,300557882;2,350700423;
-0,499513268;0,159712594;-0,298070252;2,362120878;
-0,498911053;0,164360774;-0,298412353;2,35550226;
-0,49836278;0,167416623;-0,296278536;2,376336769;
-0,498006731;0,171462401;-0,295961142;2,388116129;
-0,497225285;0,177162165;-0,294075161;2,436450442;
-0,496929407;0,179586696;-0,293944627;2,425656042;
-0,496282965;0,184331909;-0,292333275;2,44377946;
-0,495853841;0,185843673;-0,292288721;2,475581988;
-0,495520443;0,189918788;-0,290416449;2,512650188;
-0,494999498;0,195297107;-0,290766448;2,52059144;
-0,494494379;0,197628527;-0,288137704;2,533064768;
-0,493712157;0,202538855;-0,288384885;2,531654579;
-0,493155479;0,205378401;-0,285967261;2,549746413;
-0,492927581;0,209783377;-0,286195606;2,612319233;
-0,49236244;0,214947653;-0,284057796;2,626962538;
-0,491849601;0,219216132;-0,283961564;2,601512239;
-0,491376579;0,223304257;-0,282481372;2,61686394;
-0,490885913;0,227586931;-0,282377422;2,664223921;
-0,490194857;0,228962871;-0,279751062;2,67732691;
-0,490053773;0,23360551;-0,280517757;2,716801654;
-0,489261776;0,23885284;-0,278259337;2,727929851;
-0,48890987;0,242977778;-0,278273076;2,721996868;
-0,488276809;0,246854814;-0,276263833;2,722122999;
-0,487744451;0,250736656;-0,276771933;2,796620251;
-0,487365186;0,253946425;-0,273867428;2,800792901;
-0,486829668;0,260897008;-0,273789942;2,816649873;
-0,486480594;0,264422686;-0,272391826;2,863947997;
-0,485857487;0,265352728;-0,272138298;2,855705924;
-0,485396534;0,271843508;-0,270190626;2,884568676;
-0,4850052;0,275574211;-0,270177871;2,900967003;
-0,484331936;0,279712807;-0,268255562;2,921543142;
-0,483957738;0,28485228;-0,268880486;2,948008167;
-0,483265668;0,287892882;-0,26613611;2,971375153;
-0,482808501;0,29338211;-0,266102195;2,993383321;
-0,482358932;0,297964717;-0,26409936;3,002147138;
-0,481826663;0,298836179;-0,264755845;2,986831441;
-0,481391251;0,303094499;-0,261837661;2,980831353;
-0,480897307;0,309579752;-0,261674792;3,009024396;
-0,480490923;0,31367885;-0,26030159;3,047697008;
-0,48003;0,317737654;-0,259656608;3,07696783;
-0,479493678;0,324267033;-0,258410394;3,088358129;
-0,478803128;0,326443803;-0,257804394;3,128797583;
-0,478426754;0,329826799;-0,257318288;3,143694186;
-0,477885097;0,332704007;-0,255643517;3,150836608;
-0,477339;0,340055889;-0,254969865;3,20109863;
-0,47712186;0,34357356;-0,253672451;3,211928412;
-0,476397634;0,34681702;-0,253064632;3,212606834;
-0,476154834;0,351172276;-0,25148803;3,218325432;
-0,475427032;0,355117083;-0,251114815;3,190986764;
-0,474795163;0,361822199;-0,248953909;3,275103632;
-0,474337697;0,366390574;-0,248803183;3,285479303;
-0,473826796;0,367299383;-0,246964872;3,270297529;
-0,473230302;0,377957656;-0,247121707;3,362900923;
-0,472873181;0,376534222;-0,244718015;3,401108669;
-0,472534597;0,38273889;-0,245591864;3,410593991;
-0,471926123;0,386389141;-0,24281171;3,35609719;
-0,47133553;0,390937549;-0,243007943;3,399206035;
-0,470729321;0,393082861;-0,241505951;3,390792846;
-0,470392495;0,399548554;-0,241525993;3,452431215;
-0,469884396;0,404493066;-0,239130259;3,446161708;
-0,469234347;0,407552418;-0,239906102;3,455468791;
-0,468812674;0,411778174;-0,237110823;3,480530781;
-0,468335569;0,41665899;-0,237089768;3,579105503;
-0,467983484;0,422688445;-0,235134512;3,560223529;
-0,46757862;0,428007079;-0,235185266;3,54885324;
-0,466953188;0,43117289;-0,232695654;3,591003686;
-0,466550112;0,436534655;-0,232836738;3,58369802;
-0,465800494;0,441653365;-0,231422931;3,698463213;
-0,465308964;0,443793137;-0,231340975;3,620498096;
-0,464751154;0,444996349;-0,229225248;3,647907668;
-0,464383304;0,453405619;-0,229261786;3,683594546;
-0,463897616;0,453102509;-0,227692798;3,690975219;
-0,463303864;0,459410461;-0,227358639;3,688253311;
-0,462960303;0,465423036;-0,225709051;3,682969245;
-0,462485552;0,466823917;-0,224877387;3,746922119;
-0,461847156;0,47081803;-0,223280802;3,766160356;
-0,461399972;0,479000864;-0,223031521;3,784440291;
-0,460873067;0,480011764;-0,220803782;3,819481052;
-0,460350484;0,486112648;-0,220818624;3,858268819;
-0,459918022;0,49450228;-0,219874471;3,824336692;
-0,459291309;0,497395495;-0,218948409;3,886300192;
-0,45901677;0,501499935;-0,217514098;3,825512443;
-0,45833832;0,499708587;-0,217712536;3,883630935;
-0,457901627;0,506411373;-0,215316117;3,91305736;
-0,457430899;0,509775265;-0,214865386;3,940274018;
-0,456898361;0,518414937;-0,213386461;3,996939508;
-0,456466138;0,52173268;-0,213021994;3,99719216;
-0,455925465;0,525020331;-0,210916847;4,034281791;
-0,455361217;0,529901797;-0,211046293;4,050521916;
-0,45491606;0,533005691;-0,209136814;4,087908214;
-0,454292506;0,54217806;-0,209370181;4,059901659;
-0,453815728;0,543048626;-0,207625747;4,148066726;
-0,453519851;0,547407721;-0,207156226;4,138957224;
-0,453044832;0,55241967;-0,205424964;4,141462215;
-0,452436149;0,556943001;-0,20537509;4,187804248;
-0,451853365;0,562376613;-0,203045502;4,19350613;
-0,451231271;0,565277532;-0,20282574;4,2388155;
-0,450885594;0,574468962;-0,201385319;4,199997345;
-0,450404137;0,576773341;-0,200794309;4,263260937;
-0,450160325;0,57848785;-0,199354902;4,292573231;
-0,44958365;0,578644822;-0,199201092;4,29757819;
-0,448860765;0,584600719;-0,197869733;4,352433505;
-0,448489457;0,592645318;-0,197012603;4,359583833;
-0,447878748;0,595902253;-0,195924163;4,370036565;
-0,447344631;0,601336536;-0,195631385;4,372552689;
-0,446938872;0,606607954;-0,193121463;4,393109533;
-0,446443439;0,610818199;-0,193108782;4,422652321;
-0,445948243;0,616851084;-0,191251218;4,523844882;
-0,445509434;0,6212205;-0,190638244;4,448390896;
-0,444822401;0,624484215;-0,189045757;4,493623921;
-0,444422781;0,629880189;-0,188966215;4,518689311;
-0,443902105;0,640073001;-0,187225387;4,475633601;
-0,443393171;0,636974769;-0,187696412;4,481335318;
-0,442834705;0,643758857;-0,184977248;4,517325897;
-0,442341834;0,643480396;-0,185713738;4,53134782;
-0,442044765;0,652704882;-0,18322289;4,561984058;
-0,441632479;0,653738951;-0,182947069;4,615705911;
-0,44090119;0,661528601;-0,181230664;4,665958115;
-0,440240711;0,667905118;-0,180521086;4,572795501;
-0,439734817;0,667806656;-0,179157794;4,695496498;
-0,439371139;0,674659541;-0,179276705;4,746913849;
-0,439061433;0,674832828;-0,177132666;4,727359391;
-0,438431084;0,686703442;-0,177675813;4,694104034;
-0,43801558;0,685928616;-0,175054729;4,745844818;
-0,437570095;0,689121534;-0,175021634;4,781572229;
-0,436724007;0,697252504;-0,172991812;4,806740733;
-0,436305523;0,698781862;-0,173129112;4,720660785;
-0,435876012;0,697216668;-0,171046704;4,768323828;
-0,435442328;0,706201394;-0,170647755;4,710064007;
-0,435001194;0,711980176;-0,169916928;4,751903266;
-0,434397042;0,716338791;-0,168780878;4,831026709;
-0,433906257;0,723060697;-0,167848304;4,805442425;
-0,433368802;0,725427115;-0,166471347;4,876733542;
-0,432822645;0,731003732;-0,165818945;4,880337444;
-0,432402819;0,732827484;-0,164560795;4,897654299;
-0,431889862;0,733049836;-0,164018676;4,908466952;
-0,431339651;0,740980558;-0,162359595;4,928106436;
-0,430911243;0,74840354;-0,162217438;4,969319258;
-0,430523366;0,752205824;-0,160128653;4,907292732;
-0,42994231;0,755085863;-0,160869107;4,930903021;
-0,429371834;0,75946257;-0,158368573;5,042837398;
-0,428907663;0,765916417;-0,157805458;5,104396013;
-0,428379834;0,766523201;-0,156193331;5,113931314;
-0,428005338;0,779215037;-0,155776098;5,126924982;
-0,427321732;0,78329117;-0,154189065;5,146083241;
-0,426935792;0,782118018;-0,153719008;5,204782434;
-0,426455438;0,791270914;-0,152627528;5,204153862;
-0,425942212;0,794132477;-0,151931629;5,308208134;
-0,42539531;0,794646411;-0,150422066;5,246745864;
-0,425016731;0,799834203;-0,1493655;5,286331605;
-0,424412519;0,809956791;-0,14867042;5,361427612;
-0,423876166;0,81463767;-0,147864431;5,344327254;
-0,423446715;0,812946458;-0,146559671;5,262903625;
-0,4228701;0,820023541;-0,145637751;5,285466447;
-0,422448158;0,816548572;-0,144478261;5,342949476;
-0,421999544;0,828150233;-0,143639147;5,356330899;
-0,421535462;0,828973825;-0,142937928;5,345873223;
-0,420924574;0,840521344;-0,141867518;5,48846388;
-0,420406371;0,844551344;-0,140673086;5,486791537;
-0,419774532;0,845220172;-0,13950707;5,571895963;
-0,419418275;0,851055571;-0,138976797;5,500593444;
-0,418961167;0,856296309;-0,136965483;5,454318011;
-0,418551892;0,864438888;-0,137224287;5,522184196;
-0,418115377;0,861502268;-0,13561821;5,573778503;
-0,417303234;0,869923398;-0,134822354;5,655487743;
-0,417066485;0,875181409;-0,133274853;5,606152313;
-0,416411728;0,875008408;-0,13326107;5,581998607;
-0,415946186;0,884650781;-0,131209567;5,605951607;
-0,415357649;0,888996191;-0,1312996;5,717731008;
-0,415128797;0,894018892;-0,129302025;5,727336753;
-0,41460824;0,89867061;-0,129722148;5,773286576;
-0,413916916;0,896113028;-0,127374545;5,837955299;
-0,413597971;0,902754253;-0,127055287;5,860324982;
-0,412853807;0,910511589;-0,124797784;5,752014225;
-0,412495255;0,913003546;-0,12493103;5,84154141;
-0,411759377;0,915868093;-0,123021953;5,918026741;
-0,411378294;0,923467586;-0,123345509;5,884742677;
-0,410963595;0,928694841;-0,121624842;5,935580335;
-0,410575628;0,929211035;-0,121235527;5,961671147;
-0,409999788;0,935427972;-0,120081335;5,973092262;
-0,409486771;0,938369969;-0,118317172;5,840699952;
-0,409004509;0,944751444;-0,117653318;6,005213373;
-0,408225924;0,952857653;-0,116397075;5,987777276;
-0,407952547;0,953434974;-0,115719214;6,04345846;
-0,407451063;0,960297577;-0,114819586;6,098613345;
-0,406853586;0,965147908;-0,114008099;6,103267541;
-0,406521589;0,971815962;-0,112419039;6,10822034;
-0,406094164;0,968892136;-0,11274571;6,193114264;
-0,405562967;0,977663213;-0,109843299;6,094810848;
-0,405018508;0,984779666;-0,109589718;6,140224219;
-0,404220015;0,985879186;-0,107930616;6,14725579;
-0,403808504;0,987743538;-0,108107448;6,17424481;
-0,403603762;0,996110311;-0,106467739;6,191180777;
-0,402896911;1,000864372;-0,105865188;6,212239174;
-0,402396768;1,006983641;-0,104561374;6,220227519;
-0,402111351;1,010750631;-0,103840068;6,303365547;
-0,401399851;1,016517218;-0,102373019;6,314529968;
